Ques,Label
What is the capital of Finland?,0
What is the name of Bridget Jones' baby in the third Bridget Jones film?,0
At the time of writing (December 2022) how many episodes of The Simpsons are there?,0
Which five colours make up the Olympic rings?,0
In which decade was Madonna born?,0
What is the most sold flavour of Walker's crisps?,0
What's the biggest animal in the world?,0
"For one point, put the following Kardashian-Jenners in order of age, oldest to youngest: Khloe, Kylie, Rob, Kourtney, Kendall, Kim, Kris",0
How many times has Andy Murray won Wimbledon playing singles?,0
Which country is brie cheese originally from?,0
In what franchise would you find the character Katniss Everdeen?,0
What year was Heinz established?,0
What is the capital of Iceland?,0
Who came second in the FIFA Women's World Cup in 2019?,0
What year did Margaret Thatcher die?,0
What does IPA stand for?,0
Who painted the Mona Lisa?,0
Which planet is closest to the sun?,0
What was Queen Elizabeth II's surname?,0
Who plays Delboy Trotter in Only Fools And Horses?,0
What is the largest country in the world?,0
Which fashion designer reportedly had a relationship with Winston Churchill?,0
How many valves does the heart have?,0
What is the name of the school in Sex Education?,0
"In Harry Potter, what is the name of The Weasley's house?",0
"Put these Tom Hanks films in chronological order: Catch Me If You Can, Forrest Gump, The Terminal, Bridge Of Spies",0
"Typically, what four ingredients go into a cosmopolitan cocktail? (For one point)",0
Who has been the First Minister of Wales since December 2018?,0
Which city had the first ever fashion week?,0
What nut is in the middle of a Ferrero Rocher?,0
What's a baby rabbit called?,0
How many minutes in a game of rugby league?,0
"Typically, what's the strongest muscle in the human body?",0
Name one landlocked country in Europe,0
Who did Anne Hathaway play in Les Miserables?,0
What fruit takes the scientific name Mangifera indica?,0
What does He stand for on the periodic table?,0
What does LGBTQ stand for?,0
"What did Jack Dorsey, Noah Glass, Biz Stone, and Evan Williams collectively create?",0
"To a single decimal point, many kilometers in a mile?",0
Where in England would you find the themepark Dreamland?,0
What month was Prince George born?,0
"For two points, if all of the states of America were placed in alphabetical order, what would be first and last?",0
Who is the highest spiritual leader of Tibet?,0
What is the Papaver Rhoeas flower better known as?,0
"Who plays Emily in the hit Netflix show, Emily In Paris?",0
Which rapper's real name is Dylan Kwabena Mills?,0
Who is manager of the England football team as of 2020?,0
"For one point, which of these actors is Scottish? Jamie Dornan, Michael Sheen, James McAvoy, Daniel Craig",0
How many episodes of Scrubs were there? Closest wins the point.,0
"What year was Google images invented, and for a bonus point, what prompted its creation?",0
