Ques,Label
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What is the latest news?,7
What is going on in the world today?,7
What is the top news story?,7
What is been happening in the world recently?,7
What is the most recent news?,7
What are the latest news updates?,7
What is the current news?,7
What is the news?,7
What is the top story at the moment?,7
What has happened recently?,7
Can you tell me the current affairs?,7
Can you tell me what is going on in the world?,7
Tell me the current affairs,7
Tell me the latest news,7
What are the latest updates?,7
What is happening currently?,7
What is the latest information?,7
What are the current events?,7
What is the latest report?,7
What is happening in the news?,7
What is the current situation?,7
What is the latest development?,7
What is the newest update?,7
What is the most recent news?,7
What are the recent happenings?,7
What is the latest breaking news?,7
What is the latest update on current events?,7
What is the latest on the news front?,7
What is the current state of affairs?,7
What is the most recent development?,7
What is the latest word on current events?,7
What are the new updates?,7
What is the latest in current events?,7
What is the most recent information?,7
What is the current news?,7
What is happening now?,7
What is the latest headline?,7
What is the latest story?,7
What is the newest development?,7
What is the current update?,7
What is the most recent happening?,7
What is the latest in the news cycle?,7
What is the current state of things?,7
What is the latest scoop?,7
What is the most recent update?,7
What is happening in the world?,7
What is the latest buzz?,7
What is the most recent news update?,7
What is the current news update?,7
What is the latest news story?,7
What is the current news headline?,7
What is the most recent news development?,7
What is the latest news item?,7
What is the newest news?,7
What is the latest news report?,7
What is the latest news update on current events?,7
What is the current news situation?,7
What is the latest news development on current events?,7
What is the latest news from the world?,7
What is the most recent news on current events?,7
What is the latest news in the world?,7
What is the current news on the world front?,7
What is the most recent news story?,7
What is the latest information on current events?,7
Can you give me an update on current events?,7
Can you fill me in on the latest news?,7
What is happening in the world right now?,7
Could you give me a rundown of current events?,7
Can you bring me up to speed on what's happening globally?,7
Can you keep me informed about the state of the world?,7
Can you tell me what's happening in the world today?,7
Could you give me an overview of the current state of affairs?,7
Can you share with me the current happenings in the world?,7
Can you give me a brief on world events?,7
Could you bring me up to date on global events?,7
Can you inform me of the latest developments in the world?,7
Can you give me a summary of current events?,7
Can you tell me what's happening in the world right now?,7
Can you give me a snapshot of the current state of the world?,7
Could you provide me with a brief on global news?,7
Can you give me an update on the world's current events?,7
Can you fill me in on what's happening globally?,7
Can you give me a rundown of the latest news?,7
Can you keep me informed about current world events?,7
Could you give me an overview of the current state of the world?,7
Can you share with me the current happenings globally?,7
Can you give me a brief on world news?,7
Could you bring me up to date on international events?,7
Can you inform me of the latest developments in the world today?,7
Can you give me a summary of current global events?,7
Can you tell me what's happening in the world at the moment?,7
Can you give me a snapshot of the current state of international affairs?,7
Could you provide me with a brief on world news updates?,7
Can you give me an update on the current state of the world?,7
Can you fill me in on the current happenings globally?,7
Can you give me a rundown of current world events?,7
Can you keep me informed about the state of the world today?,7
Could you give me an overview of current global affairs?,7
Can you share with me the latest happenings in the world?,7
Can you give me a brief on current world news?,7
Could you bring me up to date on world events happening now?,7
Can you inform me of the latest developments in the global community?,7
Can you give me a summary of current international events?,7
Can you tell me what's happening in the world currently?,7
Can you give me a snapshot of the current state of global affairs?,7
Could you provide me with a brief on current world developments?,7
Can you give me an update on the current happenings in the world?,7
Can you fill me in on the latest global news?,7
Can you give me a rundown of current international events?,7
Can you keep me informed about the state of the world at the moment?,7
Can you tell me what's happening globally right now?,7
Could you give me an overview of the current state of world affairs?,7
Can you tell me the current state of the world?,7
Can you give me an update on recent world events?,7
What's happening globally right now?,7
Could you provide me with a summary of current world news?,7
Can you keep me informed about the current state of global affairs?,7
Can you give me a brief on current global happenings?,7
Could you bring me up to date on the latest world events?,7
Can you inform me of the current state of international affairs?,7
Can you give me a snapshot of the world's current events?,7
Can you share with me the latest developments in the world?,7
Can you tell me what's happening globally at the moment?,7
Could you give me an overview of current world news?,7
Can you fill me in on the current state of the world?,7
Can you give me a rundown of recent global happenings?,7
Can you keep me informed about the world's current events?,7
Can you give me a brief on current international affairs?,7
Could you bring me up to date on recent world news?,7
Can you inform me of the latest global developments?,7
Can you give me a summary of the world's current events?,7
Can you give me an update on the current state of global affairs?,7
Can you fill me in on the latest world happenings?,7
Can you give me a rundown of current international news?,7
Can you tell me what's happening globally at present?,7
Could you give me an overview of the current state of world news?,7
Can you share with me the latest global developments?,7
Can you give me a snapshot of current world events?,7
